MDDS GPIO Pinnings used by this software:

PIN  | module       | usage
-----+--------------+-----------------------------------------
PA9  | usart        | USART1 TX
PA10 | usart        | USART1 RX
PA2  | usart        | USART2 TX
PA3  | usart        | USART2 RX
PB10 | usart        | USART3 TX
PB11 | usart        | USART3 RX
     |              |
PC0  | LED          | triangle LED #0
PC1  | LED          | triangle LED #1
PC2  | LED          | traingle LED #2
PC3  | LED          | heartbeat LED
     |              |
PA5  | at_wrapper   | ESP8266 enable
     |              |
PB1  | motor r      | right motor PWM signal
PA0  | motor r      | right motor direction signal #0
PA1  | motor r      | right motor direction signal #1
PB8  | motor r      | right motor rotary encoder signal #0
PB9  | motor r      | right motor rotary encoder signal #1
     |              |
PB0  | motor l      | left motor PWM signal
PA6  | motor l      | left motor direction signal #0
PA7  | motor l      | left motor direction signal #1
PC12 | motor l      | left motor rotary encoder signal #0
PC13 | motor l      | left motor rotary encoder signal #1
     |              |
